AsOfDate,Comapny,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GL_Balance,IHUB_Balance,BalanceDiff,MatchBreak
10/23/2023,BOHZAI5SI6W,55827587,6585,BAM,Personal Loan Account,invoice transaction at O'Kon: Kris and Schamberger using card ending with ***(...7384) for LKR 546.04 in account ***32276891,85346.04,61226.91,24119.12999999999,Break
11/28/2024,JXCOLCPDSQ6,15350430,5960,ISK,Auto Loan Account,invoice transaction at Blanda Group using card ending with ***(...1621) for MXN 352.52 in account ***23696022,56239.99,80255.16,-24015.17000000001,Break
01/21/2024,GGYRTZ8L,90554409,7158,MYR,Personal Loan Account,payment transaction at Ledner: Dietrich and Terry using card ending with ***(...1097) for HNL 915.93 in account ***24858742,21854.98,34019.55,-12164.570000000003,Break
09/04/2024,FZGKST10XXX,72332422,8696,TWD,Auto Loan Account,withdrawal transaction at Jakubowski: Rath and Pacocha using card ending with ***(...8702) for CUP 486.25 in account ***67601307,24943.75,42166.92,-17223.17,Break
09/07/2024,ITRLKWVOXXX,79370225,7047,LAK,Investment Account,withdrawal transaction at Goyette: Reinger and Veum using card ending with ***(...1271) for AMD 194.56 in account ***79305226,29177.96,58245.51,-29067.550000000003,Break
12/03/2023,UBZFAUPQ,17611098,7285,LYD,Money Market Account,deposit transaction at Emmerich Group using card ending with ***(...2290) for QAR 64.29 in account ***28240808,49336.12,46609.56,2726.560000000005,Break
01/28/2025,QYLULTF4,93598507,3747,USD,Home Loan Account,deposit transaction at Zieme LLC using card ending with ***(...4660) for MZN 826.70 in account ***66114883,81199.03,68234.37,12964.660000000003,Break
01/03/2024,CWIANLPNNYH,54394553,2688,BHD,Credit Card Account,invoice transaction at Wyman: Kling and Waelchi using card ending with ***(...9791) for NOK 133.79 in account ***62593357,62905.64,91514.64,-28609.0,Break
10/25/2024,OSLPMTJJ,95830677,9567,BMD,Credit Card Account,withdrawal transaction at Kunde - Blick using card ending with ***(...4776) for VND 107.20 in account ***52122213,62956.62,55936.59,7020.030000000006,Break
08/16/2024,YDIIPLU6,39656651,1619,KYD,Auto Loan Account,payment transaction at Langworth - Conroy using card ending with ***(...9683) for AOA 864.21 in account ***27676941,69091.24,91555.41,-22464.17,Break
06/15/2024,HEZSSKXYFNS,97576058,4843,CAD,Home Loan Account,invoice transaction at Halvorson: Orn and Purdy using card ending with ***(...7026) for SGD 417.56 in account ***63427269,86254.48,11971.75,74282.73,Break
02/12/2025,IYIXBAZM,38230758,6490,GIP,Home Loan Account,deposit transaction at Shields Group using card ending with ***(...7521) for BND 243.78 in account ***01550956,47064.26,82785.7,-35721.439999999995,Break
03/07/2025,QSRLCHKEY3G,17332257,9108,USD,Personal Loan Account,invoice transaction at Keeling: Hills and Breitenberg using card ending with ***(...3612) for MKD 911.28 in account ***14144964,27781.63,16126.39,11655.240000000002,Break
09/21/2024,CMAYBFUP,27735656,1670,USD,Savings Account,invoice transaction at Stokes: Hamill and Roob using card ending with ***(...0886) for SAR 115.71 in account ***07181072,46509.12,48941.04,-2431.9199999999983,Break
08/05/2024,UCKUBFVWQHH,35269454,7366,COP,Credit Card Account,payment transaction at Kshlerin - Hagenes using card ending with ***(...8264) for CRC 893.68 in account ***75530030,29434.76,25920.04,3514.719999999997,Break
08/22/2024,QIXRLTZ4MST,3055955,8368,KRW,Personal Loan Account,withdrawal transaction at Frami - Waters using card ending with ***(...2204) for STN 33.73 in account ***71596429,44060.95,86188.41,-42127.46000000001,Break
03/21/2024,WXCTUGTF,20170074,9391,SHP,Checking Account,withdrawal transaction at Turner - Feeney using card ending with ***(...0421) for MDL 764.56 in account ***27945868,30536.07,10922.86,19613.21,Break
05/03/2024,OVFODONOXXX,24748270,6715,BDT,Credit Card Account,withdrawal transaction at Ebert: Schmitt and Mayer using card ending with ***(...9472) for DOP 621.34 in account ***41253835,61781.6,84087.61,-22306.01,Break
02/14/2024,ZCBSGEOPHIA,90313199,1636,TMT,Credit Card Account,invoice transaction at Murazik - Zemlak using card ending with ***(...2174) for KRW 210.79 in account ***36736309,34688.92,82250.83,-47561.91,Break
12/17/2023,BBSHJOO6FOR,47468084,2133,USD,Savings Account,payment transaction at Parker and Sons using card ending with ***(...5482) for PHP 500.03 in account ***83552615,15487.79,95775.08,-80287.29000000001,Break
11/30/2023,YOJTBMP0,82555471,1941,USD,Savings Account,deposit transaction at Feest: Connelly and Pfeffer using card ending with ***(...4201) for MDL 767.34 in account ***35395610,38548.45,62730.18,-24181.730000000003,Break
11/06/2024,CKFKTM79XXX,6480336,3595,XOF,Auto Loan Account,deposit transaction at Mertz - Goldner using card ending with ***(...8827) for USD 184.12 in account ***47740782,77093.53,22654.12,54439.41,Break
03/05/2024,YPHDPHKVWJD,51150839,3169,CAD,Investment Account,withdrawal transaction at Hirthe: Adams and Erdman using card ending with ***(...4366) for PEN 752.07 in account ***73620566,26954.28,30157.0,-3202.720000000001,Break
11/28/2023,XVRHDJL4,34723170,4776,USD,Home Loan Account,invoice transaction at Corkery and Sons using card ending with ***(...0604) for TND 795.46 in account ***61286613,65283.6,38677.86,26605.74,Break
10/15/2024,EGELUA84XXX,7892528,8003,BYN,Savings Account,invoice transaction at Mills: Becker and Graham using card ending with ***(...2259) for KMF 425.91 in account ***59316419,49880.4,80878.93,-30998.52999999999,Break
10/15/2024,FAHRGD6J,18545177,686,USD,Auto Loan Account,deposit transaction at Wuckert - Mayert using card ending with ***(...0771) for TOP 207.82 in account ***10993896,87905.79,81137.34,6768.449999999997,Break
02/14/2025,ESBDGNYG,58547954,7193,NAD,Personal Loan Account,withdrawal transaction at Armstrong - Powlowski using card ending with ***(...8848) for THB 30.11 in account ***21167989,88614.09,56733.94,31880.149999999998,Break
09/14/2024,PYGJKGD1,21734926,6499,GBP,Money Market Account,payment transaction at Goldner LLC using card ending with ***(...2317) for PHP 780.25 in account ***21380101,83583.24,9769.24,73814.0,Break
01/02/2024,UKNHMKZ38QB,64766624,8034,BND,Money Market Account,invoice transaction at Goodwin Group using card ending with ***(...5918) for BTN 245.53 in account ***93376076,18298.43,77201.23,-58902.8,Break
07/10/2024,GRKESXWR,16299518,8036,AOA,Checking Account,withdrawal transaction at Huel - Goldner using card ending with ***(...4518) for ILS 704.42 in account ***66072654,10939.23,27841.55,-16902.32,Break
02/11/2024,SCZRMABH,72841656,9769,AED,Auto Loan Account,payment transaction at Daniel LLC using card ending with ***(...1372) for PEN 789.73 in account ***58153320,43091.74,44936.51,-1844.770000000004,Break
07/15/2024,IQWNBIJUXXX,44805411,1657,MXN,Investment Account,deposit transaction at Boyer: Cartwright and Bode using card ending with ***(...9807) for PKR 152.88 in account ***91213857,25053.72,11605.75,13447.97,Break
09/05/2024,HPLVKYOF,73071155,8913,USD,Savings Account,payment transaction at Lemke: Weimann and Durgan using card ending with ***(...1982) for GEL 764.81 in account ***88654363,54367.86,78296.52,-23928.660000000003,Break
09/04/2024,KAZJALJC,36239952,3768,ZMW,Money Market Account,withdrawal transaction at Fahey - Pacocha using card ending with ***(...1080) for MNT 879.22 in account ***10017175,82124.52,20352.03,61772.490000000005,Break
07/17/2024,AFVUBI3R,9835293,7265,ANG,Checking Account,invoice transaction at Herzog and Sons using card ending with ***(...9518) for TZS 102.37 in account ***09146530,10982.06,9025.35,1956.7099999999991,Break
01/12/2024,UTMRKZXPUI7,50896959,4350,USD,Personal Loan Account,invoice transaction at Reinger: Schoen and Brakus using card ending with ***(...2867) for LRD 449.84 in account ***33429757,70035.5,71134.46,-1098.9600000000064,Break
08/22/2024,XBPUCONA,69093045,5869,HKD,Investment Account,payment transaction at Pfeffer Group using card ending with ***(...0984) for BIF 672.27 in account ***89763652,55478.04,49515.73,5962.309999999998,Break
07/30/2024,AAVTMVDI,76593502,5349,USD,Money Market Account,invoice transaction at Bahringer - Zemlak using card ending with ***(...0321) for DJF 180.32 in account ***97424160,52462.38,49055.25,3407.1299999999974,Break
11/09/2024,JUHKBMV2XXX,77851339,7422,RUB,Savings Account,deposit transaction at Raynor - Kirlin using card ending with ***(...1462) for INR 267.91 in account ***58125329,39264.54,57561.77,-18297.23,Break
05/14/2024,HJACISXX,60708834,6916,BYN,Credit Card Account,deposit transaction at McCullough: Lubowitz and Ritchie using card ending with ***(...7454) for FJD 460.56 in account ***37316772,33446.07,81349.77,-47903.7,Break
12/21/2024,LGFTCK3PFBT,62411026,1901,MXN,Personal Loan Account,withdrawal transaction at MacGyver - Pouros using card ending with ***(...9482) for SAR 316.54 in account ***91385500,57157.75,48818.07,8339.68,Break
02/01/2024,FIESBO5C9BG,97048207,3670,UAH,Home Loan Account,deposit transaction at Lindgren: Bosco and Moen using card ending with ***(...3013) for RWF 535.43 in account ***27836603,43105.55,37754.17,5351.380000000005,Break
07/15/2024,UEVHPWTO,1170322,1568,GIP,Checking Account,withdrawal transaction at Marquardt - Gerhold using card ending with ***(...7585) for JMD 569.18 in account ***21316839,11975.43,94135.72,-82160.29000000001,Break
06/12/2024,KHTDCI1BXXX,84358318,5026,AOA,Personal Loan Account,invoice transaction at Lockman Inc using card ending with ***(...7455) for BDT 716.00 in account ***10258477,10641.38,21843.7,-11202.320000000002,Break
03/16/2024,BGGYWFK2,49292276,2157,HTG,Checking Account,payment transaction at Stoltenberg: Ferry and Hodkiewicz using card ending with ***(...3368) for MZN 807.84 in account ***88582699,33825.75,19602.58,14223.169999999998,Break
12/07/2024,ERUNMQSP,67342500,628,XAF,Auto Loan Account,deposit transaction at Lockman Group using card ending with ***(...4837) for BBD 409.31 in account ***47874829,44872.14,33507.97,11364.169999999998,Break
12/08/2024,EZGUARO2XXX,46900302,448,THB,Home Loan Account,deposit transaction at Huel and Sons using card ending with ***(...2451) for CLP 861.43 in account ***10791362,32633.11,44985.19,-12352.080000000002,Break
02/12/2025,XFMPPR77,34723376,2438,OMR,Personal Loan Account,deposit transaction at Mertz - Graham using card ending with ***(...4284) for LKR 452.24 in account ***91078787,81661.47,43669.43,37992.04,Break
08/16/2024,JVIUPTE9,58663092,1782,MKD,Credit Card Account,deposit transaction at Murray: Mueller and Hilpert using card ending with ***(...2094) for MDL 132.67 in account ***85735768,66374.27,45156.13,21218.140000000007,Break
12/07/2023,GKGXLSX5XXX,57070218,4410,AED,Checking Account,deposit transaction at Kuphal Inc using card ending with ***(...5792) for XOF 222.25 in account ***52346236,65605.78,60620.53,4985.25,Break
01/05/2025,ZVVURWD0,50531654,902,BBD,Personal Loan Account,payment transaction at Ankunding Inc using card ending with ***(...4247) for TZS 519.62 in account ***50984240,63236.2,30532.04,32704.16,Break
01/31/2025,NVDUPKQ93XD,22329441,4604,NAD,Home Loan Account,deposit transaction at Goldner - Aufderhar using card ending with ***(...9941) for LYD 53.56 in account ***27215862,69959.53,26701.23,43258.3,Break
07/09/2024,TRPDETFY,10584768,849,EUR,Checking Account,payment transaction at Jast - Kautzer using card ending with ***(...6889) for COP 765.43 in account ***31602952,81869.81,46940.2,34929.61,Break
08/29/2024,MNJYCWR5,22380809,8358,MGA,Savings Account,withdrawal transaction at Buckridge: Boyer and Keebler using card ending with ***(...4948) for CDF 688.39 in account ***51889537,23592.99,18852.23,4740.760000000002,Break
11/09/2023,QHSATN30,71057228,527,KMF,Money Market Account,payment transaction at Bosco Group using card ending with ***(...4584) for KHR 28.31 in account ***82050589,17565.92,27686.24,-10120.320000000003,Break
06/16/2024,PXNOTH5R,79026580,3417,XOF,Investment Account,payment transaction at Weimann - Streich using card ending with ***(...4975) for SAR 804.85 in account ***61160949,63423.7,98475.85,-35052.15000000001,Break
03/04/2025,ZPLONLNBXXX,37682123,1507,EUR,Credit Card Account,withdrawal transaction at Baumbach - Jenkins using card ending with ***(...0123) for OMR 921.53 in account ***88732888,68455.13,87647.53,-19192.399999999998,Break
11/17/2024,LPSSECOM,94139596,7542,MVR,Checking Account,payment transaction at Torphy Group using card ending with ***(...9068) for HUF 665.71 in account ***28693208,77388.84,93749.57,-16360.73000000001,Break
10/03/2024,AYCXIM4O,22661943,5339,MKD,Checking Account,invoice transaction at Olson Group using card ending with ***(...3151) for VUV 91.85 in account ***98284506,65859.06,49004.93,16854.129999999997,Break
12/10/2023,MGUWMD6T,29955938,4157,BYN,Auto Loan Account,invoice transaction at Hermann Inc using card ending with ***(...3566) for XCD 118.26 in account ***98553022,66426.08,8372.32,58053.76,Break
06/25/2024,FGUHCKXTXXX,28846872,5222,LBP,Credit Card Account,withdrawal transaction at Gislason Inc using card ending with ***(...3386) for DJF 647.53 in account ***19682379,11900.71,79106.35,-67205.64000000001,Break
03/10/2024,UQZOBJPR,57868408,5161,ARS,Personal Loan Account,withdrawal transaction at Kiehn: Lakin and Abernathy using card ending with ***(...2855) for BZD 12.53 in account ***20681292,64986.12,21158.38,43827.740000000005,Break
12/15/2023,TJTVGGTAXXX,26339386,1398,SGD,Checking Account,invoice transaction at Feest and Sons using card ending with ***(...3820) for BRL 872.02 in account ***00102969,10316.71,92732.55,-82415.84,Break
11/04/2023,QVFMATN2,39797376,4201,FJD,Checking Account,deposit transaction at Dietrich: Kub and Larkin using card ending with ***(...9144) for KWD 126.24 in account ***58790819,70567.42,41873.32,28694.1,Break
09/15/2024,YQPLTCPE,97489868,510,GYD,Investment Account,withdrawal transaction at Satterfield LLC using card ending with ***(...9138) for EGP 611.12 in account ***40916256,63307.94,55166.35,8141.590000000004,Break
03/07/2025,FYKFADEDXXX,74476908,1774,ANG,Auto Loan Account,payment transaction at Cummerata and Sons using card ending with ***(...2913) for GBP 773.31 in account ***14236174,86988.87,91635.75,-4646.880000000005,Break
08/22/2024,XFXFWSIR,14768205,1015,EUR,Auto Loan Account,deposit transaction at McLaughlin: McKenzie and Sporer using card ending with ***(...1263) for SHP 709.84 in account ***85249476,12824.84,25960.42,-13135.579999999998,Break
07/02/2024,HAQFNCZL,87546326,2127,USD,Checking Account,invoice transaction at Mertz - Abshire using card ending with ***(...2745) for ILS 267.75 in account ***21810172,85062.22,89971.84,-4909.619999999995,Break
02/19/2025,SQIMMKOIXXX,31082419,6596,KYD,Auto Loan Account,invoice transaction at Stracke - Hahn using card ending with ***(...9161) for RSD 438.16 in account ***24638276,38219.95,56789.9,-18569.950000000004,Break
12/27/2023,VEILSN0D,4973782,2029,SGD,Personal Loan Account,withdrawal transaction at Bogisich: Carroll and Towne using card ending with ***(...8380) for CRC 564.07 in account ***56399564,46802.53,34405.94,12396.589999999997,Break
04/06/2024,BIXMLYQG,81577699,8146,KRW,Checking Account,payment transaction at Abernathy Group using card ending with ***(...1432) for MZN 887.86 in account ***92707569,56299.5,57819.09,-1519.5899999999965,Break
06/06/2024,XZPXDMHL,53045814,9435,MDL,Checking Account,deposit transaction at Corwin: Wehner and Kris using card ending with ***(...4103) for MWK 565.99 in account ***69534743,23810.94,12093.71,11717.23,Break
02/10/2024,TFGMSMOX,37643961,3619,ZAR,Savings Account,deposit transaction at Hansen - West using card ending with ***(...6482) for BND 858.48 in account ***34522689,35643.11,56654.89,-21011.78,Break
05/08/2024,KKREYTNF,18090393,3482,PKR,Personal Loan Account,withdrawal transaction at Douglas: Ryan and Feeney using card ending with ***(...7941) for BIF 349.55 in account ***21892454,70625.7,46055.8,24569.899999999998,Break
02/22/2025,ZDTJDJ4R,96383993,613,USD,Credit Card Account,payment transaction at Berge: Brakus and Schmidt using card ending with ***(...4249) for KGS 323.10 in account ***25299621,82995.6,32053.42,50942.18000000001,Break
11/05/2024,CLGYJMPJ,11906514,570,MKD,Savings Account,payment transaction at Renner: Boyer and Keebler using card ending with ***(...0816) for LSL 623.37 in account ***36968713,52064.8,79326.72,-27261.92,Break
08/09/2024,PPURPWG9XXX,67002101,3008,AWG,Home Loan Account,withdrawal transaction at Tillman - Cartwright using card ending with ***(...1872) for OMR 314.77 in account ***93087701,62152.99,62100.99,52.0,Break
01/13/2025,OSFYCG72,91466228,1380,NAD,Personal Loan Account,deposit transaction at Boyer: Batz and Daugherty using card ending with ***(...1134) for ZMW 514.04 in account ***78308226,38007.11,74281.08,-36273.97,Break
02/24/2025,SCFPHMMU,65044985,2744,PLN,Auto Loan Account,withdrawal transaction at Erdman Inc using card ending with ***(...0611) for QAR 587.99 in account ***24206405,58762.03,21067.81,37694.22,Break
12/21/2024,WPAWBS41XXX,11965844,3211,FKP,Home Loan Account,invoice transaction at Towne: Johns and Wiza using card ending with ***(...6501) for MRU 684.27 in account ***22510400,56603.66,87443.38,-30839.72,Break
03/13/2024,RBVHBB91,70230865,9489,PAB,Checking Account,withdrawal transaction at Kautzer: Torp and Wiza using card ending with ***(...2336) for KGS 2.46 in account ***33698003,11422.35,7295.63,4126.72,Break
10/22/2023,BFMRSNI0UNM,77149203,1939,ILS,Home Loan Account,deposit transaction at Howell: Champlin and Bernhard using card ending with ***(...1983) for ERN 491.49 in account ***93492365,23186.8,13789.84,9396.96,Break
11/15/2023,ZAZNLT6L,53976615,32,BMD,Personal Loan Account,deposit transaction at McGlynn - O'Kon using card ending with ***(...5352) for FKP 345.44 in account ***06356606,63516.81,53818.03,9698.78,Break
05/03/2024,MGMTCNX2FEN,7384850,952,ERN,Savings Account,payment transaction at Buckridge: Ondricka and Prohaska using card ending with ***(...8860) for BYN 83.05 in account ***11862049,73421.25,84765.11,-11343.86,Break
05/23/2024,ZTVAPLK2ZEN,42202157,7267,LSL,Auto Loan Account,deposit transaction at Smitham: Gottlieb and Franey using card ending with ***(...5398) for EGP 194.79 in account ***02107859,29588.63,59510.77,-29922.14,Break
01/27/2025,GFKSCZCA,61228041,7264,MDL,Credit Card Account,invoice transaction at Herman Inc using card ending with ***(...2611) for AZN 137.94 in account ***62639231,85228.17,11850.59,73377.58,Break
09/02/2024,MTJGITG1,95594178,399,MXN,Savings Account,payment transaction at Williamson: Swift and VonRueden using card ending with ***(...6020) for IRR 203.76 in account ***54055196,17394.65,43555.66,-26161.01,Break
08/05/2024,LIXNCUPW,67699328,786,KZT,Auto Loan Account,withdrawal transaction at Reinger: Osinski and Dicki using card ending with ***(...6810) for SRD 332.32 in account ***61991280,60238.62,92902.16,-32663.54,Break
03/20/2024,OZWYPEQS,50566581,4178,KPW,Credit Card Account,payment transaction at Stamm and Sons using card ending with ***(...3499) for DZD 918.41 in account ***08506509,58008.98,65872.65,-7863.669999999991,Break
06/14/2024,VNWDMQU8XXX,32454515,1685,TOP,Money Market Account,invoice transaction at Gibson: Cruickshank and Durgan using card ending with ***(...7986) for NIO 638.29 in account ***01928075,45862.59,93739.03,-47876.44,Break
01/29/2024,EYWTLU18QP1,68945533,5391,BIF,Checking Account,invoice transaction at Yost Inc using card ending with ***(...7666) for LYD 851.96 in account ***69355649,84627.12,51975.23,32651.889999999992,Break
04/19/2024,IUXCLT6F,83704325,3700,BSD,Investment Account,payment transaction at Anderson Inc using card ending with ***(...9846) for CAD 838.58 in account ***13780173,52938.3,14989.59,37948.71000000001,Break
09/06/2024,RERJILKS,66572869,307,FJD,Credit Card Account,deposit transaction at Powlowski: Torp and Stamm using card ending with ***(...5578) for PYG 673.34 in account ***94057590,51755.4,65140.71,-13385.309999999998,Break
04/15/2024,VKRKARNH,49851410,7182,GMD,Home Loan Account,withdrawal transaction at Thiel and Sons using card ending with ***(...8719) for WST 314.41 in account ***94603459,83919.13,67880.92,16038.210000000006,Break
04/01/2024,TYMSAO6CV6Y,76835555,1340,PGK,Credit Card Account,invoice transaction at Casper Group using card ending with ***(...5786) for TWD 862.76 in account ***26148962,86180.04,78763.01,7417.029999999999,Break
01/23/2024,FOECTHCIFA3,88602117,2787,INR,Savings Account,deposit transaction at Koepp: Sawayn and Donnelly using card ending with ***(...6214) for CDF 410.74 in account ***32417155,45752.65,10607.76,35144.89,Break
12/28/2024,WMSBGT6M,98430460,8809,RWF,Investment Account,payment transaction at Bradtke - Weber using card ending with ***(...3057) for DKK 218.91 in account ***64783850,14146.75,27584.44,-13437.69,Break
11/10/2024,XBRPCU3C1FT,49905952,8274,SBD,Credit Card Account,deposit transaction at Wiza Group using card ending with ***(...2826) for LSL 29.47 in account ***07395309,88808.11,15731.45,73076.66,Break
06/03/2024,WFSZSZQO,93702023,5599,BND,Personal Loan Account,withdrawal transaction at Hane - Bruen using card ending with ***(...1576) for LKR 509.85 in account ***79315457,62304.98,44780.14,17524.840000000004,Break
02/02/2024,HCDICGA4,80811008,4264,EUR,Investment Account,invoice transaction at Franecki: Smith and Johnston using card ending with ***(...0584) for KRW 529.86 in account ***60845001,27085.45,70040.17,-42954.72,Break
03/15/2024,LAXZROR0XXX,49275277,557,MDL,Checking Account,withdrawal transaction at Hettinger - Lueilwitz using card ending with ***(...4324) for PKR 178.41 in account ***34032989,58344.48,76207.48,-17862.999999999993,Break
06/10/2024,CFMRTMM7,18644917,9153,NAD,Personal Loan Account,payment transaction at Huel Inc using card ending with ***(...2174) for PHP 323.62 in account ***18248452,34481.02,21486.93,12994.089999999997,Break
10/19/2023,JESOAMAC,49785357,9050,BDT,Money Market Account,deposit transaction at Yundt - Graham using card ending with ***(...1077) for BRL 654.91 in account ***85961537,28059.79,71475.96,-43416.170000000006,Break
12/10/2023,ZUYSLIMYHX4,41574584,9441,BAM,Checking Account,payment transaction at Franey - Quitzon using card ending with ***(...0037) for VES 332.29 in account ***83126860,66107.98,36849.47,29258.509999999995,Break
02/10/2024,JGWBCNIG,87897907,2378,MDL,Investment Account,invoice transaction at Witting Group using card ending with ***(...8388) for NPR 158.55 in account ***07963029,87154.3,71709.15,15445.150000000009,Break
12/16/2023,RIJIAGY6,28082473,7178,SSP,Auto Loan Account,deposit transaction at Schulist Group using card ending with ***(...2480) for SLE 470.10 in account ***79249216,39713.33,67179.71,-27466.380000000005,Break
08/13/2024,NOPHAIPF,99304399,4048,CZK,Home Loan Account,payment transaction at Farrell - Daugherty using card ending with ***(...2214) for DKK 358.00 in account ***42383161,86068.18,11812.09,74256.09,Break
02/29/2024,ADXKRWDMR6B,5137113,8853,GBP,Savings Account,deposit transaction at Reynolds - Vandervort using card ending with ***(...9798) for OMR 747.62 in account ***78877021,52698.36,90660.71,-37962.350000000006,Break
04/25/2024,QYKYSAKJXXX,25007514,7532,KZT,Investment Account,invoice transaction at O'Keefe - Kuvalis using card ending with ***(...1255) for GEL 77.94 in account ***88130369,45122.35,92062.63,-46940.280000000006,Break
11/02/2024,JWSUMMEVOEH,33342845,7741,MMK,Auto Loan Account,deposit transaction at Feil Inc using card ending with ***(...0523) for SSP 825.92 in account ***05941609,14545.32,19877.97,-5332.6500000000015,Break
03/05/2025,UZZUSLMEDU1,28211881,6722,TJS,Personal Loan Account,payment transaction at Spinka: Wolf and Walsh using card ending with ***(...4991) for SSP 508.95 in account ***03734872,25801.72,81166.6,-55364.880000000005,Break
02/25/2025,ZJHBGBAJ,90144891,2143,DKK,Money Market Account,deposit transaction at Hettinger: Shanahan and Vandervort using card ending with ***(...6551) for LRD 0.41 in account ***66965607,25919.99,37551.13,-11631.139999999996,Break
03/11/2024,BIIGTLC84NE,49706849,7825,DJF,Personal Loan Account,payment transaction at Bosco: Abbott and Mohr using card ending with ***(...3500) for VUV 324.33 in account ***49267750,54101.41,97910.84,-43809.42999999999,Break
12/19/2024,SCWEWFO8XXX,4641431,9838,NZD,Money Market Account,payment transaction at Armstrong - O'Conner using card ending with ***(...3948) for TND 209.82 in account ***43210987,38463.84,98747.72,-60283.880000000005,Break
06/24/2024,AAQKTHE0,34177673,7964,THB,Investment Account,deposit transaction at Kilback: Treutel and Nicolas using card ending with ***(...8955) for XCD 946.16 in account ***14449066,20493.69,15645.66,4848.029999999999,Break
11/26/2023,OJWCITZ7,85642506,6262,BBD,Savings Account,invoice transaction at Hand - Kautzer using card ending with ***(...3614) for MZN 928.06 in account ***70260787,18029.85,38762.84,-20732.99,Break
06/20/2024,CMNKAL2S,99094981,9882,MRU,Checking Account,invoice transaction at Blick: Bogisich and Jacobson using card ending with ***(...5147) for GHS 74.15 in account ***67851902,74082.52,89473.46,-15390.940000000002,Break
10/24/2024,QLATNIPV,43148022,9430,HUF,Money Market Account,deposit transaction at Cole: Altenwerth and Lesch using card ending with ***(...5689) for FJD 384.45 in account ***29345267,60964.42,69356.48,-8392.059999999998,Break
12/29/2023,AMNKMZWU,77549326,4147,KGS,Investment Account,payment transaction at Hagenes LLC using card ending with ***(...0987) for KPW 169.71 in account ***87720919,27737.67,12998.16,14739.509999999998,Break
07/30/2024,BKEHCAN2XXX,47589845,5662,CUP,Home Loan Account,deposit transaction at Brekke - Robel using card ending with ***(...0656) for PEN 610.74 in account ***71484475,18821.85,95819.74,-76997.89000000001,Break
